# Pick And Place List
# eMail=
#
# Project=lorawan-weather-node-pcb
# Date=00:47:51
# CreatedBy=Fritzing 1.0.7.2026-04-14.CD-2576-0-394a8bb4
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
Via48,";;;;;;;;","",170.496,74.1967,0,Top,MANUAL
Via50,";;;;;;;;","",70.4961,1274.2,0,Top,MANUAL
Via43,";;;;;;;;","",1170.5,274.197,0,Top,MANUAL
Via53,";;;;;;;;","",2170.73,74.6522,0,Top,MANUAL
Via54,";;;;;;;;","",2170.73,274.708,0,Top,MANUAL
Via45,";;;;;;;;","",1870.5,1074.2,0,Top,MANUAL
Via44,";;;;;;;;","",2171.19,973.141,0,Top,MANUAL
Via28,";;;;;;;;","",2470.5,1074.2,0,Top,MANUAL
Via30,";;;;;;;;","",2370.5,1274.2,0,Top,MANUAL
Via46,";;;;;;;;","",2570.5,1374.2,0,Top,MANUAL
Via6,";;;;;;;;","",2270.5,1874.2,0,Top,MANUAL
Via41,";;;;;;;;","",2770.5,1874.2,0,Top,MANUAL
Via52,";;;;;;;;","",3070.5,1774.2,0,Top,MANUAL
U6,";;;;;;;SMLVT3V3;","smb-diode",157.114,1074.19,180,Top,SMT
F1,";;;;;;;RXEF090;","ptc",170.5,1574.19,-90,Top,SMT
F3,";;;;;;;RXEF010;","ptc",570.5,1174.19,-90,Top,SMT
